ticker,name,etfs,stock_id,stock_guid,oracle_value,oracle_value_intrinsic,dcf_value,profitability,financial_strength,oracle_moat,valuation,etf_weights
BRK.B,BERKSHIRE HATHAWAY INC CL B,XLF,26893,7dfeaee3-4b5d-417c-b59e-be10f1b2ddbd,497.1,497.1,438.15,MEDIUM,HIGH,WIDE,FAIRLY_VALUED,"{""XLF"": 11.87888}"
BRO,BROWN + BROWN INC,XLF,25232,af6eceac-c45e-4afa-b40b-267489dfd8ad,103.37,103.37,67.74,HIGH,HIGH,NO_MOAT,VERY_UNDERVALUED,"{""XLF"": 0.234029}"
BSX,BOSTON SCIENTIFIC CORP,XLV,24016,fb8ac43f-4b69-47f8-b03b-e69a33e969f3,100.74,100.74,80.14,HIGH,HIGH,NARROW,VERY_UNDERVALUED,"{""XLV"": 1.256443}"
BX,BLACKSTONE INC,XLF,30202,8a21312b-ea0c-463c-bf70-75bf60e065d6,189.73,189.73,25.98,HIGH,MEDIUM,NARROW,VERY_UNDERVALUED,"{""XLF"": 1.206834}"
BXP,BXP INC,XLRE,24693,454fda8c-45b0-478f-ba47-912a78e89a73,69.72,69.72,20.55,LOW,LOW,NO_MOAT,FAIRLY_VALUED,"{""XLRE"": 1.010421}"
C,CITIGROUP INC,XLF,26313,a193596a-75e9-4a1d-981f-a69a0bf3956a,75.48,75.48,1205.52,MEDIUM,HIGH,NO_MOAT,VERY_OVERVALUED,"{""XLF"": 3.217403}"
CAG,CONAGRA BRANDS INC,XLP,25580,82534d0b-e61d-4b32-949a-b861212835cc,27.22,27.22,16.58,LOW,LOW,NO_MOAT,VERY_UNDERVALUED,"{""XLP"": 0.416762}"
CAH,CARDINAL HEALTH INC,XLV,24290,e19dce86-0df4-4c56-87ae-fc79c3c33c26,146.08,146.08,722.94,MEDIUM,MEDIUM,NO_MOAT,VERY_OVERVALUED,"{""XLV"": 0.934719}"
CARR,CARRIER GLOBAL CORP,XLI,32656,e6c4214e-16df-4fdf-8b4e-2e6dc4a6c925,64.68,64.68,49.05,LOW,MEDIUM,NO_MOAT,FAIRLY_VALUED,"{""XLI"": 1.003366}"
CASY,CASEY S GENERAL STORES INC,XLP,25866,63d450b3-b08a-4cac-ba27-568aad7b53d5,554.77,554.77,1058.03,MEDIUM,HIGH,NO_MOAT,VERY_OVERVALUED,"{""XLP"": 1.110886}"
CAT,CATERPILLAR INC,XLI,26015,ebcfdbcc-2655-41b2-a650-39fc2c701e67,502.48,502.48,998.71,MEDIUM,HIGH,WIDE,VERY_OVERVALUED,"{""XLI"": 7.651566}"
CB,CHUBB LTD,XLF,30671,0cd8f708-781a-4181-b4dd-51f064e197a1,321.84,321.84,926.71,HIGH,HIGH,NARROW,FAIRLY_VALUED,"{""XLF"": 1.58552}"
CBOE,CBOE GLOBAL MARKETS INC,XLF,34817,0a26ea86-33da-4908-8fc3-792f9cd0f3ba,234.93,234.93,350.28,HIGH,HIGH,WIDE,OVERVALUED,"{""XLF"": 0.412824}"
CBRE,CBRE GROUP INC   A,XLRE,28758,10d25b0e-dbe2-4ce4-b6df-db2e9b37cd14,129.43,129.43,128.36,MEDIUM,HIGH,NO_MOAT,FAIRLY_VALUED,"{""XLRE"": 3.967859}"
CCI,CROWN CASTLE INC,XLRE,24058,7f323ab5-44f0-4008-9b5f-8c3168a56293,93.61,93.61,264.35,MEDIUM,LOW,NO_MOAT,FAIRLY_VALUED,"{""XLRE"": 4.149293}"
CCL,CARNIVAL CORP LTD,XLY,25069,dbddc448-3427-4375-b74c-67a899b6fbd8,23.86,23.86,89.85,MEDIUM,LOW,NARROW,OVERVALUED,"{""XLY"": 0.843421}"
CDNS,CADENCE DESIGN SYS INC,XLK,25519,bc408dfa-a950-45b9-ad4b-9733084f5ee5,219.09,219.09,150.01,HIGH,HIGH,WIDE,VERY_OVERVALUED,"{""XLK"": 0.675991}"
CDW,CDW CORP/DE,XLK,27971,0067542c-237d-4808-aed8-87e2874a7b69,144.35,144.35,144.35,MEDIUM,MEDIUM,NARROW,FAIRLY_VALUED,"{""XLK"": 0.108796}"
CEG,CONSTELLATION ENERGY,XLU,30073,1573a51a-2f0d-400e-bb63-e7cfa3d30683,191.66,191.66,575.56,MEDIUM,MEDIUM,NO_MOAT,VERY_OVERVALUED,"{""XLU"": 5.78552}"
CF,CF INDUSTRIES HOLDINGS INC,XLB,29886,5c689cf2-ed5f-436c-8b5e-8d79ea1f737a,145.52,145.52,186.57,HIGH,MEDIUM,NO_MOAT,UNDERVALUED,"{""XLB"": 2.035941}"
CFG,CITIZENS FINANCIAL GROUP,XLF,31410,6cbc0759-81f0-49a4-bf6d-93c32aec7924,48.03,48.03,410.13,MEDIUM,HIGH,NO_MOAT,VERY_OVERVALUED,"{""XLF"": 0.376946}"
CHD,CHURCH + DWIGHT CO INC,XLP,25797,7ff9e5f4-b599-48ca-a614-87edd981bcb6,77.61,77.61,89.23,MEDIUM,HIGH,WIDE,OVERVALUED,"{""XLP"": 1.488376}"
CHRW,C.H. ROBINSON WORLDWIDE INC,XLI,29391,6afe1c2c-ea54-4c56-ab65-bb2526bab4a3,116.96,116.96,215.0,MEDIUM,MEDIUM,NARROW,VERY_OVERVALUED,"{""XLI"": 0.415806}"
CHTR,CHARTER COMMUNICATIONS INC A,XLC,29283,79a8fd2e-5be3-4b49-b0de-2ad59fac6ea2,378.62,378.62,2125.34,MEDIUM,LOW,NARROW,VERY_UNDERVALUED,"{""XLC"": 2.736819}"
CI,THE CIGNA GROUP,XLV,26035,053f743f-f45c-486b-a078-0cc9cacc9b4c,393.76,393.76,827.99,MEDIUM,HIGH,NARROW,UNDERVALUED,"{""XLV"": 1.395178}"
CIEN,CIENA CORP,XLK,27239,fb0a3607-1e84-48a8-8759-f4f6a103a536,82.44,82.44,9597.13,LOW,HIGH,NARROW,VERY_OVERVALUED,"{""XLK"": 0.405841}"
CINF,CINCINNATI FINANCIAL CORP,XLF,24746,c8ef6edd-d6e7-4369-b93c-358b5603e47d,170.61,170.61,380.43,HIGH,HIGH,NARROW,FAIRLY_VALUED,"{""XLF"": 0.350104}"
CL,COLGATE PALMOLIVE CO,XLP,25139,d3b41385-b122-404a-a5da-cf0184777ac5,76.08,76.08,88.49,HIGH,HIGH,WIDE,OVERVALUED,"{""XLP"": 4.406067}"
CLX,CLOROX COMPANY,XLP,24269,069bcbe1-eab4-45b4-b474-d2150cc68d71,138.61,138.61,39.99,MEDIUM,LOW,NARROW,VERY_UNDERVALUED,"{""XLP"": 0.769913}"
CMCSA,COMCAST CORP CLASS A,XLC,28640,3b9b77c6-d941-4c66-a903-6e2122e1a0cb,42.84,42.84,126.85,MEDIUM,MEDIUM,NARROW,VERY_UNDERVALUED,"{""XLC"": 3.604461}"
CME,CME GROUP INC,XLF,29264,a78a7a03-2b7d-4696-9d4f-bc9d53cd671d,220.72,220.72,243.93,HIGH,HIGH,WIDE,OVERVALUED,"{""XLF"": 1.260605}"
CMG,CHIPOTLE MEXICAN GRILL INC,XLY,26588,6a68f886-2555-4283-99a8-423a117ba3a8,41.05,41.05,52.0,MEDIUM,MEDIUM,NARROW,UNDERVALUED,"{""XLY"": 0.949391}"
CMI,CUMMINS INC,XLI,26029,6db0bf95-2958-4156-85fd-67ceb456d619,335.9,335.9,1000.46,HIGH,HIGH,NARROW,VERY_OVERVALUED,"{""XLI"": 1.660045}"
CMS,CMS ENERGY CORP,XLU,26319,15802ae9-674d-42e6-9b1e-33d9aff2fbfe,70.92,70.92,80.29,MEDIUM,LOW,NO_MOAT,FAIRLY_VALUED,"{""XLU"": 1.637504}"
CNC,CENTENE CORP,XLV,25261,5e2d1932-4ca8-4afb-8750-41a3db8789b9,60.83,60.83,2352.24,LOW,HIGH,NARROW,FAIRLY_VALUED,"{""XLV"": 0.533153}"
CNP,CENTERPOINT ENERGY INC,XLU,25793,b0fe6124-2022-45e9-b981-1aef0e3628ff,32.44,32.44,47.41,MEDIUM,LOW,NO_MOAT,OVERVALUED,"{""XLU"": 2.037819}"
COF,CAPITAL ONE FINANCIAL CORP,XLF,24482,bc5df9a4-9740-4d9a-819c-8d2b3bb37ae8,176.52,176.52,1702.87,MEDIUM,HIGH,NARROW,FAIRLY_VALUED,"{""XLF"": 1.517337}"
COHR,COHERENT CORP,XLK,24007,a83f0326-c7a5-404f-aaea-647ccef8840c,124.89,124.89,209.87,LOW,MEDIUM,NARROW,VERY_OVERVALUED,"{""XLK"": 0.441125}"
COIN,COINBASE GLOBAL INC  CLASS A,XLF,31344,07e399e0-e598-4eba-bb31-2f28433af331,231.5,231.5,75.0,MEDIUM,MEDIUM,NARROW,UNDERVALUED,"{""XLF"": 0.477223}"
COO,COOPER COS INC/THE,XLV,25135,a07862d9-36ad-40a5-85f8-b1513246911f,99.19,99.19,107.8,HIGH,HIGH,NARROW,VERY_UNDERVALUED,"{""XLV"": 0.237639}"
COP,CONOCOPHILLIPS,XLE,26341,14a1353e-34a3-4cd8-86de-ea9bfe57a707,127.6,127.6,420.58,MEDIUM,HIGH,NO_MOAT,FAIRLY_VALUED,"{""XLE"": 6.779812}"
COR,CENCORA INC,XLV,25767,4c95f59f-f703-4030-bbe2-44197acfa952,279.12,279.12,294.27,HIGH,MEDIUM,NO_MOAT,FAIRLY_VALUED,"{""XLV"": 0.983496}"
COST,COSTCO WHOLESALE CORP,XLP,24395,415d197c-90d6-41ea-b189-f762063248b3,569.64,569.64,818.28,MEDIUM,HIGH,WIDE,VERY_OVERVALUED,"{""XLP"": 9.035239}"
CPAY,CORPAY INC,XLF,35419,79e3ae82-0320-4d39-a72b-829ae292c2ca,406.99,406.99,877.01,HIGH,LOW,NARROW,UNDERVALUED,"{""XLF"": 0.327111}"
CPB,THE CAMPBELL S COMPANY,XLP,25241,a8a75da8-32a3-4e61-a937-7d49e9458f95,32.44,32.44,17.6,MEDIUM,MEDIUM,NO_MOAT,VERY_UNDERVALUED,"{""XLP"": 0.28971}"
CPRT,COPART INC,XLI,26203,4eecbc0b-7612-4d3b-8858-2680e2d39981,55.02,55.02,34.63,HIGH,HIGH,WIDE,VERY_UNDERVALUED,"{""XLI"": 0.506545}"
CPT,CAMDEN PROPERTY TRUST,XLRE,24188,a9912f7d-9f22-43d2-ab12-1e6900c3d7dc,115.15,115.15,,LOW,LOW,NO_MOAT,FAIRLY_VALUED,"{""XLRE"": 1.224461}"
CRH,CRH PLC,XLB,31813,1b921681-9119-466a-956f-fad287219b61,55.12,55.12,201.47,MEDIUM,HIGH,NO_MOAT,VERY_OVERVALUED,"{""XLB"": 4.397402}"
CRL,CHARLES RIVER LABORATORIES,XLV,25730,b6b2a115-6a7c-44ae-b51e-cce5f48be638,241.42,241.42,172.68,LOW,MEDIUM,NARROW,UNDERVALUED,"{""XLV"": 0.166239}"
CRM,SALESFORCE INC,XLK,28721,06a19b16-71af-4329-8b81-ec750cf72b03,314.85,314.85,400.0,MEDIUM,LOW,WIDE,VERY_UNDERVALUED,"{""XLK"": 1.009329}"
CRWD,CROWDSTRIKE HOLDINGS INC   A,XLK,32430,a207132c-8156-4b69-a7e2-34f19a404b74,374.39,374.39,654.01,LOW,MEDIUM,NARROW,VERY_OVERVALUED,"{""XLK"": 1.128203}"
CSCO,CISCO SYSTEMS INC,XLK,25937,e712a509-d317-464f-8f0d-31203c9afe82,64.72,64.72,82.38,MEDIUM,MEDIUM,NARROW,VERY_OVERVALUED,"{""XLK"": 3.115155}"
CSGP,COSTAR GROUP INC,XLRE,24993,9ccb1497-3052-4fe1-b30f-0db0032193b7,85.51,85.51,201.77,LOW,MEDIUM,NARROW,VERY_UNDERVALUED,"{""XLRE"": 1.431767}"
CSX,CSX CORP,XLI,25534,6378aa75-b2b8-4513-9a48-11ca22142084,31.87,31.87,61.73,MEDIUM,MEDIUM,WIDE,VERY_OVERVALUED,"{""XLI"": 1.614044}"
CTAS,CINTAS CORP,XLI,23911,de679144-405c-4ef4-af87-951339cc89fe,179.32,179.32,141.54,HIGH,HIGH,WIDE,FAIRLY_VALUED,"{""XLI"": 1.131993}"
CTSH,COGNIZANT TECH SOLUTIONS A,XLK,25276,ab7c31f6-fa91-4244-811a-cd3af3069cea,86.74,86.74,130.79,MEDIUM,HIGH,NARROW,VERY_UNDERVALUED,"{""XLK"": 0.158401}"
CTVA,CORTEVA INC,XLB,32428,f7e0569d-43f9-47b2-af79-b4c5d1a085eb,67.04,67.04,111.92,LOW,MEDIUM,NO_MOAT,OVERVALUED,"{""XLB"": 4.153311}"
CVNA,CARVANA CO,XLY,31055,cb784198-c458-48ea-91e3-8ee641114a55,54.78,54.78,20.39,HIGH,MEDIUM,NO_MOAT,OVERVALUED,"{""XLY"": 1.118864}"
CVS,CVS HEALTH CORP,XLV,26183,96ff968f-927c-4b19-8f42-bce6b03f0618,68.59,68.59,222.5,LOW,LOW,NARROW,VERY_OVERVALUED,"{""XLV"": 2.295996}"
CVX,CHEVRON CORP,XLE,24668,2e3b20fb-fe73-4237-b8b4-0d528de76658,163.05,163.05,389.74,MEDIUM,HIGH,NARROW,OVERVALUED,"{""XLE"": 16.70898}"
